2,55
3,42
3,59
4,6
6,11
6,33
6,38
6,49
6,52
8,6
8,10
8,32
10,28
10,34
10,42
10,55
10,60
11,6
11,28
11,55
11,60
11,62
12,60
13,60
14,33
14,34
18,12
19,31
19,45
19,55
19,68
21,31
21,55
23,31
23,33
23,39
24,38
24,45
25,64
28,11
28,23
28,24
28,31
28,50
28,52
28,60
28,64
28,68
29,31
29,55
30,10
30,27
31,23
31,33
31,48
32,10
32,35
32,39
32,49
33,5
33,14
33,23
33,31
33,43
33,52
33,63
33,65
34,6
34,11
34,50
34,55
35,6
35,67
38,6
38,33
38,48
38,58
39,23
39,32
42,3
42,10
42,59
43,33
43,49
46,11
46,33
46,34
47,10
47,46
47,62
48,31
48,38
48,52
48,65
49,51
49,63
50,66
51,55
52,6
52,19
52,31
52,34
52,48
52,63
53,28
53,33
53,34
53,55
53,60
55,11
55,12
55,19
55,23
55,49
55,63
56,4
56,30
56,58
58,38
59,42
59,55
60,11
60,12
60,23
60,25
60,28
60,33
60,55
61,10
61,38
62,11
62,55
62,63
63,12
63,19
63,33
63,49
63,55
64,27
64,32
64,59
65,10
65,28
65,31
65,33
65,52
65,63
65,68
68,34
43,70
42,70
